Document,Primary title,Secondary title,Classification,Author,Compiler,Translator,Publisher,Variety,ISO,Year,Country,State,Region,Community,Notes,Number,URL,Language
Romanos_6_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_6_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_6_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_6_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_7_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_7_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_7_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_7_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_7_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_7_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_7_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_7_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_7_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_7_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_7_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_7_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_7_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_7_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_8_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_8_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_8_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_8_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_8_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_8_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_8_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_8_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_8_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_8_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_8_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_8_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_8_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_8_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_9_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_9_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_9_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_9_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_9_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_9_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_9_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_9_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_9_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_9_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_9_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_9_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_9_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_9_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_10_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_10_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_10_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_10_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_10_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_10_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_10_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_10_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_10_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_10_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_10_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_10_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_11_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_11_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_11_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_11_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_11_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_11_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_11_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_11_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_11_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_11_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_11_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_11_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_11_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_11_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_12_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_12_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_12_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_12_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_12_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_12_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_12_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_12_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_12_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_12_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_12_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_12_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_12_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
